1996-12-01,SPLITSYS  27.0-32.9 BTUH,763348
1996-12-01,SPLITSYS  33.0-38.9 BTUH,863581
1996-12-01,SPLITSYS  33.0-38.9 BTUH,18
1996-12-01,SPLITSYS  39.0-43.9 BTUH,4
1996-12-01,SPLITSYS  39.0-43.9 BTUH,358332
1996-12-01,SPLITSYS  44.0-53.9 BTUH,394750
1996-12-01,SPLITSYS  44.0-53.9 BTUH,-1
1996-12-01,SPLITSYS  54.0-64.9 BTUH,298770
1996-12-01,SPLITSYS  54.0-64.9 BTUH,11
1997-01-01,SPLSYSHP  UNDER 16.5 BTU,765
1997-01-01,SPLSYSHP  16.5-21.9 BTUH,8216
1997-01-01,SPLSYSHP  22.0-26.9 BTUH,17302
1997-01-01,SPLSYSHP  27.0-32.9 BTUH,16839
1997-01-01,SPLSYSHP  33.0-38.9 BTUH,19045
1997-01-01,SPLSYSHP  39.0-43.9 BTUH,9071
1997-01-01,SPLSYSHP  44.0-53.9 BTUH,7242
1997-01-01,SPLSYSHP  54.0-64.9 BTUH,4823
1997-01-01,SPLITSYS  UNDER 16.5 BTU,1547
1997-01-01,SPLITSYS  16.5-21.9 BTUH,16600
1997-01-01,SPLITSYS  22.0-26.9 BTUH,47452
1997-01-01,SPLITSYS  27.0-32.9 BTUH,47844
1997-01-01,SPLITSYS  33.0-38.9 BTUH,54686
1997-01-01,SPLITSYS  39.0-43.9 BTUH,25554
1997-01-01,SPLITSYS  44.0-53.9 BTUH,26385
1997-01-01,SPLITSYS  54.0-64.9 BTUH,16383
1997-02-01,SPLSYSHP  UNDER 16.5 BTU,1344
1997-02-01,SPLSYSHP  16.5-21.9 BTUH,15423
1997-02-01,SPLSYSHP  22.0-26.9 BTUH,35183
1997-02-01,SPLSYSHP  27.0-32.9 BTUH,34039
1997-02-01,SPLSYSHP  33.0-38.9 BTUH,34539
1997-02-01,SPLSYSHP  39.0-43.9 BTUH,15588
1997-02-01,SPLSYSHP  44.0-53.9 BTUH,13739
1997-02-01,SPLSYSHP  54.0-64.9 BTUH,9701
1997-02-01,SPLITSYS  UNDER 16.5 BTU,2885
1997-02-01,SPLITSYS  16.5-21.9 BTUH,35228
